n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1532.81148,0.310070823,0.0211368313,137.734334,312.886714,509.087297,51.6012143,344.340094,303.674982,2.69889754,-0.0267623046,607.411536,0.104048718,344.340094,51.6012143,1514.24353,0.281183072,0.702626291,0.0130904758,0.00310016167,51.6012143,57.3977096,0.000839469217,0.00026184897,0.516224755,0.482673927,0.599165791,0.516224755
1148.22059,0.257833135,0.0279287705,129.193975,313.400843,528.397787,55.6994694,351.27099,311.948326,2.26948734,-0.019753329,614.268087,0.111802222,351.27099,55.6994694,1166.00635,0.225486422,0.757359045,0.0124592587,0.00469527412,55.6994694,45.2102697,0.000702095073,0.000297759266,0.410778266,0.58822188,0.561086816,0.410778266
1443.83934,0.368028788,0.0258629296,76.1526205,301.536661,475.768508,67.8044749,301.654349,299.654349,2.16498532,-0.00223830615,611.978872,0.117024195,301.654349,67.8044749,1298.56402,0.361179573,0.636759211,0.00184204152,0.000219174369,67.8044749,97.0606134,0.00181309432,0.000367526729,0.6160239,0.381795479,0.961533165,0.6160239
1378.23295,0.442048839,0.00766821431,361.76553,292.292288,505.790358,76.2873731,356.989254,326.214724,3.01132184,-0.0148724766,626.493372,0.103165212,356.989254,76.2873731,1576.78172,0.346490142,0.630692919,0.0212337788,0.00158316006,76.2873731,37.5107149,0.00143775758,0.000333473601,0.78302925,0.215199518,0.467312253,0.78302925
956.866115,0.404312467,0.0375257681,244.692879,298.772805,505.42634,64.885585,331.791503,329.791503,2.03464546,-0.00156509792,616.536013,0.103959039,331.791503,64.885585,1052.83968,0.329170572,0.663271843,0.00609828545,0.00145929936,64.885585,68.2814474,0.00131991341,0.000324778066,0.494986839,0.503368469,0.840360842,0.494986839
1506.21749,0.411054569,0.036066852,267.285655,304.427298,498.877483,75.6943692,304.293478,302.293478,2.83711588,-0.00265048466,622.118523,0.106222047,304.293478,75.6943692,1524.52763,0.362825046,0.635253422,0.00164679331,0.000274738372,75.6943692,117.443392,0.0019985166,0.00040464232,0.53860399,0.458992851,0.96182557,0.53860399
922.90438,0.345678171,0.00434195776,347.305011,293.566298,523.648785,53.8721846,301.868571,299.868571,2.37277206,-0.000859694398,613.697802,0.107610513,301.868571,53.8721846,1167.19128,0.243887848,0.752662341,0.00336655381,8.32578591e-05,53.8721846,34.3565974,0.00097136084,0.000344835074,0.884876434,0.11380737,0.885542506,0.884876434
883.23343,0.272179406,0.00906075704,377.260444,309.934053,496.53962,57.2171696,315.935238,313.935238,1.95637548,-0.00106337503,605.442063,0.171428947,315.935238,57.2171696,1135.65792,0.175367935,0.818604688,0.00575594073,0.00027143587,57.2171696,42.4136188,0.000678998515,0.00037551291,0.817529579,0.181415909,0.841383294,0.817529579
1559.20336,0.376122372,0.00841089807,175.907017,301.501065,520.27632,77.5169257,338.221227,324.324512,3.10433907,-0.00938911939,630.870218,0.0980192043,338.221227,77.5169257,1566.76505,0.337564576,0.651379067,0.0103248337,0.000731522854,77.5169257,53.3783526,0.00156242634,0.000372412171,0.773851121,0.224214041,0.718587205,0.773851121
1336.04919,0.446959221,0.00138214883,33.0539369,298.121686,520.180645,79.0389104,339.960066,307.130786,2.4776157,-0.0131395467,630.370555,0.0755264584,339.960066,79.0389104,1248.62061,0.442084289,0.54450868,0.0132224108,0.000184620428,79.0389104,30.2798235,0.00206752866,0.000315509318,0.944244856,0.053372106,0.633940502,0.944244856
1385.91194,0.304847234,0.00953392794,57.798907,305.820463,483.676576,65.3793987,350.157391,331.248717,2.09750804,-0.0104118476,613.18812,0.132592373,350.157391,65.3793987,1288.28376,0.284430296,0.695463229,0.0184488782,0.0016575968,65.3793987,43.3888054,0.00104520244,0.000322107091,0.74331961,0.25531308,0.575727329,0.74331961
997.248217,0.288575622,0.0257297625,244.155995,309.742249,520.302365,54.575203,298.660317,289.458323,2.16459415,-0.00594251708,611.313823,0.118316584,298.660317,54.575203,1115.79982,0.227351093,0.770607952,0.00177712175,0.000263833197,54.575203,57.5057412,0.000937110935,0.000362791699,0.557621099,0.441078998,0.941763544,0.557621099
1055.2146,0.348307702,0.037153879,227.481765,317.509733,483.356111,58.7599508,291.122859,289.122859,1.7776619,-0.00190014678,606.117918,0.129069631,291.122859,58.7599508,1102.38749,0.290265696,0.708501843,0.00107238771,0.000160073855,58.7599508,85.4325281,0.00135695435,0.000371801015,0.541432932,0.456838313,0.975079419,0.541432932
1582.1459,0.363106998,0.0244763623,347.833498,297.610025,529.569262,52.9054444,353.98805,325.341859,3.66426904,-0.0166876501,614.444725,0.0859096185,353.98805,52.9054444,1779.6734,0.295048376,0.684420395,0.0152049487,0.00532628082,52.9054444,51.5978706,0.000861240101,0.000253361043,0.432076428,0.566808971,0.451720097,0.432076428
